foodName_id,foodName_en,category,mealType,calories,protein,carbs,fat
Salad Tuna (1/2 cangkir),Tuna Salad (1/2 cup),Meal/Fish,Lunch,190,19.0,2.0,12.0
Kerupuk (5 gandum utuh),Crackers (5 whole wheat),Grain/Processed,Lunch,90,2.0,14.0,3.0
Steak Daging Sapi (6oz sirloin),Beef Steak (6oz sirloin),Protein/Meat,Dinner,270,42.0,0.0,10.0
Kentang Panggang (sedang),Baked Potato (medium),Vegetable,Dinner,160,4.3,36.0,0.2
Es Krim (1/2 cangkir vanila),Ice Cream (1/2 cup vanilla),Dairy/Dessert,Snack,145,2.5,17.0,7.5
Pizza (1 potong peperoni),Pizza (1 slice pepperoni),Meal/Processed,Dinner,290,12.0,34.0,12.0
Roti Bakar Alpukat (1 potong),Avocado Toast (1 slice),Meal/Vegetarian,Breakfast,260,7.0,28.0,15.0
Telur Rebus (1 besar),Hard-Boiled Egg (1 large),Protein,Snack,78,6.3,0.6,5.3
Bungkus Ayam (dengan tortilla),Chicken Wrap (with tortilla),Meal/Processed,Lunch,410,25.0,38.0,17.0
Anggur (1 cangkir),Grapes (1 cup),Fruit,Snack,104,1.1,27.0,0.2
Keju Cottage (1/2 cangkir),Cottage Cheese (1/2 cup),Dairy,Snack,90,12.0,5.0,3.0
Burger (burger keju),Burger (cheeseburger),Meal/Processed,Dinner,550,30.0,40.0,30.0
Kentang Goreng (sedang),French Fries (medium),Vegetable/Processed,Dinner,340,4.0,44.0,17.0
Batangan Protein,Protein Bar,Supplement/Processed,Snack,210,20.0,22.0,7.0
Kacang Hitam (1/2 cangkir),Black Beans (1/2 cup),Legume,Lunch,114,7.6,20.4,0.5
Salsa (1/4 cangkir),Salsa (1/4 cup),Vegetable,Lunch,20,0.8,4.5,0.1
Sup Mie Ayam (1 kaleng),Chicken Noodle Soup (1 can),Meal/Processed,Lunch,150,7.0,18.0,5.0
Selai Kacang (2 sdm),Peanut Butter (2 tbsp),Nut,Snack,190,7.0,8.0,16.0
Batang Seledri (1 cangkir),Celery Sticks (1 cup),Vegetable,Snack,14,0.6,3.0,0.2
Ikan kod (4 ons dipanggang),Cod (4oz baked),Protein/Fish,Dinner,95,20.0,0.0,0.8
Kacang Hijau (1 cangkir),Green Beans (1 cup),Vegetable,Dinner,31,1.8,7.0,0.2
Kue Coklat Chip (1 besar),Chocolate Chip Cookie (1 large),Dessert,Snack,220,2.5,30.0,11.0
Udang (3oz dikukus),Shrimp (3oz steamed),Protein/Fish,Dinner,84,20.0,0.2,0.2
Pancake (2 sedang),Pancakes (2 medium),Grain,Breakfast,180,5.0,30.0,5.0
Sirup Maple (2 sdm),Maple Syrup (2 tbsp),Condiment,Breakfast,104,0.0,27.0,0.0
Tautan Sosis (1 matang),Sausage Link (1 cooked),Protein/Meat,Breakfast,85,5.0,1.0,7.0
Smoothie (Buah & Yogurt),Smoothie (Fruit & Yogurt),Beverage/Meal,Breakfast,280,12.0,55.0,3.0
Tahu (4oz keras),Tofu (4oz firm),Protein/Vegetarian,Lunch,90,10.0,3.0,5.0
Nasi Merah (1 cangkir dimasak),Brown Rice (1 cup cooked),Grain,Lunch,215,5.0,45.0,1.8
Paprika (1 merah sedang),Bell Pepper (1 medium red),Vegetable,Lunch,31,1.2,6.0,0.3
Hummus (2 sendok makan),Hummus (2 tbsp),Legume,Snack,70,2.0,4.0,5.0
Roti Pita (1 gandum utuh),Pita Bread (1 whole wheat),Grain,Snack,170,6.0,35.0,1.5
Potongan Daging Babi (4oz panggang),Pork Chop (4oz grilled),Protein/Meat,Dinner,220,30.0,0.0,10.0
Kentang Tumbuk (1 cangkir),Mashed Potatoes (1 cup),Vegetable,Dinner,230,4.0,35.0,8.0
Jagung (1 cangkir),Corn (1 cup),Vegetable,Dinner,132,4.7,30.0,1.8
Soda (1 kaleng Coke),Soda (1 can Coke),Beverage,Snack,140,0.0,39.0,0.0
Pretzel (1 ons),Pretzels (1 oz),Grain/Processed,Snack,110,3.0,23.0,1.0
Keju Cheddar (1 ons),Cheddar Cheese (1 oz),Dairy,Snack,115,7.0,1.0,9.5
Salad Caesar (dengan ayam),Caesar Salad (with chicken),Meal/Protein,Lunch,470,30.0,15.0,30.0
Jus Jeruk (1 cangkir),Orange Juice (1 cup),Beverage,Breakfast,112,1.7,25.8,0.5
Bacon (2 potong matang),Bacon (2 slices cooked),Protein/Meat,Breakfast,86,6.0,0.2,6.8
Wafel (2 buatan sendiri),Waffles (2 homemade),Grain,Breakfast,220,6.0,28.0,9.0
Pir,Pear,Fruit,Snack,101,0.6,27.0,0.2
Dada Ayam (4oz panggang),Chicken Breast (4oz roasted),Protein/Meat,Lunch,185,35.0,0.0,4.0
Kacang Campuran (1/4 cangkir),Mixed Nuts (1/4 cup),Nut,Snack,200,6.0,8.0,18.0
Nila (4oz dipanggang),Tilapia (4oz baked),Protein/Fish,Dinner,110,22.0,0.0,2.5
Asparagus (1 cup steamed),Asparagus (1 cup steamed),Vegetable,Dinner,40,4.3,7.4,0.4
Ubi Jalar (1 panggang sedang),Sweet Potato (1 medium baked),Vegetable,Dinner,103,2.3,23.6,0.2
Popcorn (3 cangkir air-pop),Popcorn (3 cups air-popped),Grain,Snack,93,3.0,18.6,1.1
Kismis (1/4 cangkir),Raisins (1/4 cup),Fruit,Snack,130,1.3,34.0,0.2
Makaroni & Keju (1 cangkir),Macaroni & Cheese (1 cup),Meal/Pasta,Lunch,350,10.0,40.0,17.0
Sup Tomat (1 kaleng),Tomato Soup (1 can),Meal/Vegetable,Lunch,170,4.0,25.0,6.0
Sandwich Keju Panggang,Grilled Cheese Sandwich,Meal/Processed,Lunch,390,15.0,32.0,22.0
Taco Daging Sapi (2 cangkang keras),Beef Tacos (2 hard shell),Meal/Meat,Dinner,380,18.0,28.0,22.0
Kacang Refried (1/2 cangkir),Refried Beans (1/2 cup),Legume,Dinner,115,7.0,19.0,1.0
Guacamole (1/4 cangkir),Guacamole (1/4 cup),Vegetable/Condiment,Dinner,90,1.0,4.0,8.0
Semangka (1 cangkir potong dadu),Watermelon (1 cup diced),Fruit,Snack,46,0.9,11.5,0.2
Muffin Inggris (gandum utuh),English Muffin (whole wheat),Grain,Breakfast,134,6.0,26.0,1.0
Sandwich Selai Kacang & Jeli,Peanut Butter & Jelly Sandwich,Meal/Processed,Lunch,390,12.0,50.0,17.0
Sup Krim Kerang (1 cangkir),Clam Chowder (1 cup),Meal/Seafood,Lunch,200,10.0,18.0,9.0
Es Teh (Manis 16oz),Iced Tea (Sweetened 16oz),Beverage,Snack,180,0.0,46.0,0.0
Lasagna (1 porsi daging),Lasagna (1 serving meat),Meal/Pasta,Dinner,350,20.0,30.0,17.0
Roti Bawang Putih (1 potong),Garlic Bread (1 slice),Grain,Dinner,150,4.0,18.0,7.0
Susu Coklat (1 gelas),Chocolate Milk (1 cup),Beverage/Dairy,Snack,200,8.0,26.0,8.0
Roti Putih (1 potong),White Bread (1 slice),Grain,Breakfast,70,2.0,13.0,1.0
Jeli (1 sdm anggur),Jelly (1 tbsp grape),Condiment,Breakfast,50,0.0,13.0,0.0
Burger Vegetarian (1 patty),Veggie Burger (1 patty),Protein/Vegetarian,Lunch,120,11.0,10.0,4.0
Roti (hamburger),Bun (hamburger),Grain,Lunch,140,4.0,26.0,2.0
Kecap (1 sdm),Ketchup (1 tbsp),Condiment,Lunch,20,0.2,5.0,0.1
Muffin (Blueberry 1 besar),Muffin (Blueberry 1 large),Grain/Dessert,Breakfast,380,5.0,55.0,16.0
Kopi (dengan krim/gula),Coffee (with cream/sugar),Beverage,Breakfast,50,0.5,5.0,3.0
Keripik Kentang (1 ons),Potato Chips (1 oz),Snack/Processed,Snack,160,2.0,15.0,10.0
Saus Tzatziki (2 sdm),Tzatziki Sauce (2 tbsp),Condiment/Dairy,Dinner,30,1.5,2.0,2.0
Pancake (2 sedang),Pancakes (2 medium),Grain,Breakfast,180,5.0,30.0,5.0
Sirup Maple (2 sdm),Maple Syrup (2 tbsp),Condiment,Breakfast,104,0.0,27.0,0.0
Tautan Sosis (1 matang),Sausage Link (1 cooked),Protein/Meat,Breakfast,85,5.0,1.0,7.0
Smoothie (Buah & Yogurt),Smoothie (Fruit & Yogurt),Beverage/Meal,Breakfast,280,12.0,55.0,3.0
Tahu (4oz keras),Tofu (4oz firm),Protein/Vegetarian,Lunch,90,10.0,3.0,5.0
Nasi Merah (1 cangkir dimasak),Brown Rice (1 cup cooked),Grain,Lunch,215,5.0,45.0,1.8
Paprika (1 merah sedang),Bell Pepper (1 medium red),Vegetable,Lunch,31,1.2,6.0,0.3
Hummus (2 sendok makan),Hummus (2 tbsp),Legume,Snack,70,2.0,4.0,5.0
Roti Pita (1 gandum utuh),Pita Bread (1 whole wheat),Grain,Snack,170,6.0,35.0,1.5
Potongan Daging Babi (4oz panggang),Pork Chop (4oz grilled),Protein/Meat,Dinner,220,30.0,0.0,10.0
Kentang Tumbuk (1 cangkir),Mashed Potatoes (1 cup),Vegetable,Dinner,230,4.0,35.0,8.0
Jagung (1 cangkir),Corn (1 cup),Vegetable,Dinner,132,4.7,30.0,1.8
Soda (1 kaleng Coke),Soda (1 can Coke),Beverage,Snack,140,0.0,39.0,0.0
Pretzel (1 ons),Pretzels (1 oz),Grain/Processed,Snack,110,3.0,23.0,1.0
Keju Cheddar (1 ons),Cheddar Cheese (1 oz),Dairy,Snack,115,7.0,1.0,9.5
Salad Caesar (dengan ayam),Caesar Salad (with chicken),Meal/Protein,Lunch,470,30.0,15.0,30.0
Jus Jeruk (1 cangkir),Orange Juice (1 cup),Beverage,Breakfast,112,1.7,25.8,0.5
Bacon (2 potong matang),Bacon (2 slices cooked),Protein/Meat,Breakfast,86,6.0,0.2,6.8
Wafel (2 buatan sendiri),Waffles (2 homemade),Grain,Breakfast,220,6.0,28.0,9.0
Pir,Pear,Fruit,Snack,101,0.6,27.0,0.2
Dada Ayam (4oz panggang),Chicken Breast (4oz roasted),Protein/Meat,Lunch,185,35.0,0.0,4.0
Kacang Campuran (1/4 cangkir),Mixed Nuts (1/4 cup),Nut,Snack,200,6.0,8.0,18.0
Nila (4oz dipanggang),Tilapia (4oz baked),Protein/Fish,Dinner,110,22.0,0.0,2.5
Asparagus (1 cangkir dikukus),Asparagus (1 cup steamed),Vegetable,Dinner,40,4.3,7.4,0.4
Ubi Jalar (1 panggang sedang),Sweet Potato (1 medium baked),Vegetable,Dinner,103,2.3,23.6,0.2
Popcorn (3 cangkir air-pop),Popcorn (3 cups air-popped),Grain,Snack,93,3.0,18.6,1.1
Kismis (1/4 cangkir),Raisins (1/4 cup),Fruit,Snack,130,1.3,34.0,0.2
Makaroni & Keju (1 cangkir),Macaroni & Cheese (1 cup),Meal/Pasta,Lunch,350,10.0,40.0,17.0
Sup Tomat (1 kaleng),Tomato Soup (1 can),Meal/Vegetable,Lunch,170,4.0,25.0,6.0
Sandwich Keju Panggang,Grilled Cheese Sandwich,Meal/Processed,Lunch,390,15.0,32.0,22.0
Taco Daging Sapi (2 cangkang keras),Beef Tacos (2 hard shell),Meal/Meat,Dinner,380,18.0,28.0,22.0
Kacang Refried (1/2 cangkir),Refried Beans (1/2 cup),Legume,Dinner,115,7.0,19.0,1.0
Guacamole (1/4 cangkir),Guacamole (1/4 cup),Vegetable/Condiment,Dinner,90,1.0,4.0,8.0
Semangka (1 cangkir potong dadu),Watermelon (1 cup diced),Fruit,Snack,46,0.9,11.5,0.2
Muffin Inggris (gandum utuh),English Muffin (whole wheat),Grain,Breakfast,134,6.0,26.0,1.0
Sandwich Selai Kacang & Jeli,Peanut Butter & Jelly Sandwich,Meal/Processed,Lunch,390,12.0,50.0,17.0
Sup Krim Kerang (1 cangkir),Clam Chowder (1 cup),Meal/Seafood,Lunch,200,10.0,18.0,9.0
Es Teh (Manis 16oz),Iced Tea (Sweetened 16oz),Beverage,Snack,180,0.0,46.0,0.0
Lasagna (1 porsi daging),Lasagna (1 serving meat),Meal/Pasta,Dinner,350,20.0,30.0,17.0
Roti Bawang Putih (1 potong),Garlic Bread (1 slice),Grain,Dinner,150,4.0,18.0,7.0
Susu Coklat (1 gelas),Chocolate Milk (1 cup),Beverage/Dairy,Snack,200,8.0,26.0,8.0
Roti Putih (1 potong),White Bread (1 slice),Grain,Breakfast,70,2.0,13.0,1.0
Jeli (1 sdm anggur),Jelly (1 tbsp grape),Condiment,Breakfast,50,0.0,13.0,0.0
Burger Vegetarian (1 patty),Veggie Burger (1 patty),Protein/Vegetarian,Lunch,120,11.0,10.0,4.0
Roti (hamburger),Bun (hamburger),Grain,Lunch,140,4.0,26.0,2.0
Kecap (1 sdm),Ketchup (1 tbsp),Condiment,Lunch,20,0.2,5.0,0.1
Muffin (Blueberry 1 besar),Muffin (Blueberry 1 large),Grain/Dessert,Breakfast,380,5.0,55.0,16.0
Kopi (dengan krim/gula),Coffee (with cream/sugar),Beverage,Breakfast,50,0.5,5.0,3.0
Keripik Kentang (1 ons),Potato Chips (1 oz),Snack/Processed,Snack,160,2.0,15.0,10.0
Saus Tzatziki (2 sdm),Tzatziki Sauce (2 tbsp),Condiment/Dairy,Dinner,30,1.5,2.0,2.0
Kerang (3oz dibakar),Scallops (3oz seared),Protein/Seafood,Dinner,95,17.0,5.0,1.0
Risotto (Jamur 1 cangkir),Risotto (Mushroom 1 cup),Meal/Grain,Dinner,250,7.0,35.0,9.0
Salad Capres,Caprese Salad,Meal/Vegetable,Lunch,240,10.0,8.0,18.0
Vinaigrette Balsamic (2 sendok makan),Balsamic Vinaigrette (2 tbsp),Condiment,Lunch,90,0.0,3.0,9.0
Ceri (1 cangkir),Cherries (1 cup),Fruit,Snack,77,1.6,19.0,0.5
Daging Kalkun (2 potong),Turkey Bacon (2 slices),Protein/Meat,Breakfast,70,6.0,1.0,5.0
Bubur jagung (1 cangkir dimasak),Grits (1 cup cooked),Grain,Breakfast,150,3.0,32.0,1.0
Mentega (1 sdm),Butter (1 tbsp),Condiment/Dairy,Breakfast,100,0.1,0.0,11.0
Sub Bakso (6 inci),Meatball Sub (6 inch),Meal/Processed,Lunch,580,28.0,55.0,27.0
Buah Kiwi (1 ukuran sedang),Kiwifruit (1 medium),Fruit,Snack,46,0.9,11.1,0.4
Dendeng Daging Sapi (1 ons),Beef Jerky (1 oz),Snack/Processed,Snack,116,9.4,3.1,7.2
Gambar (2 sedang),Figs (2 medium),Fruit,Snack,74,0.6,19.2,0.3
Lobster (3oz dikukus),Lobster (3oz steamed),Protein/Seafood,Dinner,76,16.0,0.0,0.7
Mentega Leleh (untuk lobster),Melted Butter (for lobster),Condiment,Dinner,200,0.2,0.0,22.0
Jagung Rebus (1 besar),Corn on the Cob (1 large),Vegetable,Dinner,125,5.0,29.0,1.5
Sup Sayur (1 kaleng),Vegetable Soup (1 can),Meal/Vegetable,Lunch,140,4.0,22.0,4.0
Kerupuk Asin (5 kerupuk),Saltine Crackers (5 crackers),Grain/Processed,Lunch,60,1.0,10.0,1.5
Mangga (1 cangkir irisan),Mango (1 cup slices),Fruit,Snack,99,1.4,24.7,0.6
Kue keju (1 potong),Cheesecake (1 slice),Dessert,Snack,320,5.0,28.0,21.0
"Pad Thai (Ayam 1,5 cangkir)",Pad Thai (Chicken 1.5 cups),Meal/Pasta,Dinner,550,25.0,60.0,22.0
Spring Roll (sayuran 2 gulungan),Spring Roll (Veg 2 rolls),Snack/Processed,Dinner,180,4.0,25.0,7.0
Air Kelapa (1 gelas),Coconut Water (1 cup),Beverage,Snack,46,1.7,8.9,0.5
Kimchi (1/2 cangkir),Kimchi (1/2 cup),Vegetable,Side,22,1.7,4.0,0.4
Sashimi (Salmon 3 buah),Sashimi (Salmon 3 pcs),Protein/Fish,Lunch,120,18.0,0.0,5.0
Wasabi (1 sdt),Wasabi (1 tsp),Condiment,Lunch,10,0.1,2.2,0.1
Salad Rumput Laut (1/2 cangkir),Seaweed Salad (1/2 cup),Vegetable,Lunch,60,2.0,8.0,3.0
Sup Bawang Perancis (1 cangkir),French Onion Soup (1 cup),Meal,Lunch,150,6.0,15.0,7.0
Crouton (1/4 cangkir),Croutons (1/4 cup),Grain,Lunch,50,1.5,7.0,2.0
Pie Gembala (1 porsi),Shepherd's Pie (1 serving),Meal/Meat,Dinner,400,20.0,35.0,20.0
Kacang Hijau (1/2 cangkir),Green Peas (1/2 cup),Legume,Dinner,62,4.1,11.1,0.2
Pai Apel (1 potong),Apple Pie (1 slice),Dessert,Snack,410,3.0,58.0,19.0
Gin & Tonik (1 minuman),Gin & Tonic (1 drink),Beverage,Snack,170,0.0,13.0,0.0
Anggur Merah (gelas 5 ons),Red Wine (5 oz glass),Beverage,Dinner,125,0.1,3.8,0.0
Halibut (4oz dipanggang),Halibut (4oz baked),Protein/Fish,Dinner,125,24.0,0.0,2.5
Salad Quinoa (1 cangkir),Quinoa Salad (1 cup),Meal/Vegetarian,Lunch,260,9.0,32.0,12.0
Limun (1 cangkir),Lemonade (1 cup),Beverage,Snack,99,0.1,26.0,0.0
Pistachio (1 ons dikupas),Pistachios (1 oz shelled),Nut,Snack,159,5.7,7.7,12.8
Susu Oat (1 cangkir),Oat Milk (1 cup),Beverage/Dairy-Alt,Breakfast,120,3.0,16.0,5.0
Biskuit dan Kuah (1 porsi),Biscuits and Gravy (1 serving),Meal/Processed,Breakfast,480,10.0,45.0,28.0
Alpukat (1/2 buah),Avocado (1/2 fruit),Fruit,Breakfast,160,2.0,8.5,14.7
Serpihan Jagung (1 cangkir),Corn Flakes (1 cup),Grain,Breakfast,100,2.0,24.0,0.0
Steak T-Bone (6oz),T-Bone Steak (6oz),Protein/Meat,Dinner,460,38.0,0.0,33.0
Bayam Krim (1/2 cangkir),Creamed Spinach (1/2 cup),Vegetable,Dinner,190,5.0,8.0,16.0
kacang pecan (1 ons),Pecans (1 oz),Nut,Snack,196,2.6,3.9,20.4
Koktail Buah (kalengan 1 gelas),Fruit Cocktail (canned 1 cup),Fruit,Snack,110,1.0,28.0,0.0
Ramen (Instan 1 bungkus),Ramen (Instant 1 pack),Meal/Processed,Lunch,380,9.0,53.0,14.0
Moka Latte (16oz),Mocha Latte (16oz),Beverage,Snack,360,12.0,48.0,15.0
Irisan Mentimun (1 cangkir),Cucumber Slices (1 cup),Vegetable,Snack,16,0.7,3.6,0.1
Keju Feta (1 ons),Feta Cheese (1 oz),Dairy,Lunch,75,4.0,1.2,6.1
Zaitun (Kalamata 5 besar),Olives (Kalamata 5 large),Fruit,Lunch,35,0.2,1.0,3.5
"Alfredo Ayam (1,5 cangkir)",Chicken Alfredo (1.5 cups),Meal/Pasta,Dinner,680,35.0,45.0,38.0
Stik roti (1 besar),Breadstick (1 large),Grain,Dinner,160,4.0,28.0,3.0
Salad Cobb,Cobb Salad,Meal/Protein,Lunch,510,30.0,12.0,38.0
Saus Keju Biru (2 sdm),Blue Cheese Dressing (2 tbsp),Condiment,Lunch,150,1.0,2.0,16.0
Jeruk Mandarin (1 sedang),Mandarin Orange (1 medium),Fruit,Snack,37,0.6,9.3,0.2
Kacang mete (1 ons panggang),Cashews (1 oz roasted),Nut,Snack,163,4.3,9.2,13.1
Eggo Waffle (2 wafel),Eggo Waffle (2 waffles),Grain/Processed,Breakfast,180,4.0,30.0,5.0
Soda Diet (1 kaleng),Diet Soda (1 can),Beverage,Lunch,0,0.0,0.0,0.0
Sandwich Babi yang Menarik,Pulled Pork Sandwich,Meal/Meat,Lunch,480,25.0,48.0,20.0
Kacang Macadamia (1 ons),Macadamia Nuts (1 oz),Nut,Snack,204,2.2,3.9,21.5
Kue Kepiting (2 sedang),Crab Cakes (2 medium),Meal/Seafood,Dinner,340,20.0,18.0,20.0
Saus Tartar (2 sdm),Tartar Sauce (2 tbsp),Condiment,Dinner,60,0.2,2.0,5.5
Lemon Bar (1 persegi),Lemon Bar (1 square),Dessert,Snack,150,1.5,22.0,6.0
Susu Almond (tanpa pemanis 1 gelas),Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,Breakfast,30,1.0,1.0,2.5
"Nasi Krispies (1,5 cangkir)",Rice Krispies (1.5 cups),Grain,Breakfast,160,3.0,37.0,0.5
Gula (1 sdt untuk sereal),Sugar (1 tsp for cereal),Condiment,Breakfast,16,0.0,4.0,0.0
Tuna (Kalengan 3oz dalam air),Tuna (Canned 3oz in water),Protein/Fish,Lunch,90,20.0,0.0,1.0
Mayones (1 sdm),Mayonnaise (1 tbsp),Condiment,Lunch,90,0.1,0.1,10.0
Acar (1 tombak adas),Pickle (1 spear dill),Vegetable,Lunch,5,0.2,1.0,0.1
Bisque Lobster (1 cangkir),Lobster Bisque (1 cup),Meal/Seafood,Lunch,250,8.0,12.0,18.0
Sandwich Ruben,Reuben Sandwich,Meal/Processed,Lunch,650,28.0,35.0,40.0
Sauerkraut (1/4 cangkir sisi),Sauerkraut (1/4 cup side),Vegetable,Lunch,7,0.3,1.5,0.0
Jamur (Putih 1 cangkir diiris),Mushroom (White 1 cup sliced),Vegetable,Dinner,15,2.2,2.3,0.2
Susu Kedelai (Asli 1 gelas),Soy Milk (Original 1 cup),Beverage/Dairy-Alt,Breakfast,110,8.0,9.0,4.5
"Ayam Tikka Masala (1,5 cangkir)",Chicken Tikka Masala (1.5 cups),Meal/Meat,Dinner,480,30.0,20.0,30.0
Roti Naan (1 buah),Naan Bread (1 piece),Grain,Dinner,260,8.0,45.0,5.0
Salad Mentimun (1/2 cangkir),Cucumber Salad (1/2 cup),Vegetable,Dinner,40,1.0,5.0,2.0
Vodka Soda (1 minuman),Vodka Soda (1 drink),Beverage,Snack,100,0.0,0.0,0.0
Croissant Coklat,Chocolate Croissant,Dessert,Breakfast,350,6.0,40.0,19.0
Ayam Asam Manis (1 cangkir),Sweet & Sour Chicken (1 cup),Meal/Processed,Dinner,380,18.0,45.0,15.0
Sup Tetes Telur (1 cangkir),Egg Drop Soup (1 cup),Meal/Vegetable,Dinner,65,5.0,6.0,2.0
Keju Tali (1 batang),String Cheese (1 stick),Dairy,Snack,80,6.0,1.0,6.0
Burger Kalkun (1 patty),Turkey Burger (1 patty),Protein/Meat,Lunch,160,22.0,2.0,8.0
Salad Kentang (1/2 cangkir),Potato Salad (1/2 cup),Meal/Vegetable,Lunch,180,2.0,19.0,11.0
Jus Cranberry (1 cangkir),Cranberry Juice (1 cup),Beverage,Breakfast,130,0.0,33.0,0.0
Ayam Piccata (1 porsi),Chicken Piccata (1 serving),Meal/Meat,Dinner,350,30.0,10.0,20.0
Pasta Rambut Malaikat (1 cangkir),Angel Hair Pasta (1 cup),Grain,Dinner,200,7.0,42.0,1.0
Minyak Zaitun (1 sdm),Olive Oil (1 tbsp),Condiment,Dinner,120,0.0,0.0,14.0
Bawang putih (1 siung),Garlic (1 clove),Vegetable,Dinner,4,0.2,0.9,0.0
Salami (3 potong),Salami (3 slices),Protein/Processed,Snack,110,6.0,1.0,9.0
Keju Provolone (1 potong),Provolone Cheese (1 slice),Dairy,Snack,100,7.0,1.0,8.0
Ginger Ale (1 kaleng),Ginger Ale (1 can),Beverage,Snack,124,0.0,32.0,0.0
Udang Scampi (1 cangkir),Shrimp Scampi (1 cup),Meal/Seafood,Dinner,380,22.0,40.0,15.0
Tiramisu (1 potong),Tiramisu (1 slice),Dessert,Snack,450,7.0,42.0,28.0
Batangan Sereal (Buah),Cereal Bar (Fruit),Snack/Processed,Breakfast,140,2.0,30.0,3.0
Daging Sapi Parmesan (1 porsi),Veal Parmesan (1 serving),Meal/Meat,Dinner,550,40.0,30.0,30.0
Spageti (samping),Spaghetti (side),Grain,Dinner,100,3.5,21.0,0.5
Cokelat Panas (1 cangkir),Hot Chocolate (1 cup),Beverage,Snack,200,3.0,30.0,8.0
Udang Kelapa (5 buah),Coconut Shrimp (5 pcs),Meal/Seafood,Dinner,320,10.0,25.0,20.0
Saus Cabai Manis (2 sdm),Sweet Chili Sauce (2 tbsp),Condiment,Dinner,70,0.0,17.0,0.0
Anggur Putih (gelas 5 ons),White Wine (5 oz glass),Beverage,Dinner,121,0.1,3.8,0.0
Campuran Jejak (1/4 cangkir),Trail Mix (1/4 cup),Snack/Processed,Snack,190,5.0,20.0,12.0
Cincin Bawang (6 cincin),Onion Rings (6 rings),Snack/Processed,Snack,280,4.0,30.0,16.0
Telur Rebus (1 besar),Poached Egg (1 large),Protein,Breakfast,72,6.3,0.4,4.8
Bacon Kanada (2 potong),Canadian Bacon (2 slices),Protein/Meat,Breakfast,80,12.0,1.0,3.0
Telur Benediktus (1 porsi),Eggs Benedict (1 serving),Meal/Protein,Breakfast,600,25.0,30.0,40.0
Saus Hollandaise (2 sdm),Hollandaise Sauce (2 tbsp),Condiment,Breakfast,110,1.0,0.5,12.0
Saus Artichoke Bayam (1/4 cangkir),Spinach Artichoke Dip (1/4 cup),Snack/Processed,Snack,160,5.0,6.0,14.0
Keripik Tortilla (1 ons),Tortilla Chips (1 oz),Snack/Processed,Snack,140,2.0,19.0,7.0
Kebab Ayam (2 tusuk sate),Chicken Kebab (2 skewers),Meal/Meat,Dinner,280,30.0,8.0,14.0
Paprika & Bawang Bombai (tumis),Bell Peppers & Onions (sautéed),Vegetable,Dinner,60,1.5,10.0,2.0
